objectID	spontaneous	yellowhammers	shrikes	date	time	areasize	cuttingdate	type_lvl1	type_lvl2	grass	spruce	shrubs	birch	raspberry	branches	bare	stones	total	trees	stubs	vegheight	edgeN	edgeE	edgeS	edgeW	edges	distfl10ha	distcc	farmland_250	clearcuts250
143232	1	1	0	22/05/2018	6:12:00 AM	21931	25/05/2008	forest	clearcut	0	40	20	20	20	0	0	0	100	no	no	2	clearcut	clearcut	forest	clearcut	0.25	30.44813	11.85588	36708	57432
143562	1	2	0	30/05/2018	6:33:00 AM	5719	12/06/2007	forest	clearcut	0	100	0	0	0	0	0	0	100	no	no	3.5	forest	forest	clearcut	forest	0.75	125.58366	219.29049	6345	12635
237716	1	1	0	24/05/2018	8:16:00 AM	12832	25/05/2008	forest	clearcut	0	70	0	30	0	0	0	0	100	no	no	5	forest	forest	clearcut	forest	0.75	5.49246	271.04956	74717	49222
237718	1	2	0	04/06/2018	6:43:00 AM	65051	25/05/2008	forest	clearcut	0	100	0	0	0	0	0	0	100	no	no	5	forest	forest	clearcut	forest	0.75	1582.49969	10.43768	0	112029
238766	1	1	0	30/05/2018	7:54:00 AM	7609	12/06/2007	forest	clearcut	0	70	0	30	0	0	0	0	100	yes	no	4	forest	forest	open	clearcut	0.5	64.45997	8.71738	55268	5000
238823	1	1	0	21/05/2018	7:03:00 AM	14525	25/05/2008	forest	clearcut	0	100	0	0	0	0	0	0	100	no	no	5	forest	forest	open	forest	0.75	12.95525	6.84633	97965	3882
517506	1	1	0	28/05/2018	5:58:00 AM	23501	14/06/2009	forest	clearcut	0	80	0	0	0	0	20	0	100	no	no	3	clearcut	clearcut	forest	clearcut	0.25	246.37546	10.11548	7	53547
605111	1	3	0	31/05/2018	6:56:00 AM	46952	02/06/2010	forest	clearcut	0	100	0	0	0	0	0	0	100	no	no	4	forest	forest	open	open	0.5	13.259	19.46728	109024	42315
605118	1	1	0	23/05/2018	6:09:00 AM	15535	02/06/2010	forest	clearcut	0	100	0	0	0	0	0	0	100	yes	no	4	forest	forest	forest	clearcut	0.75	946.81861	9.22227	0	64337
605126	1	2	0	25/05/2018	6:25:00 AM	17725	02/06/2010	forest	clearcut	0	100	0	0	0	0	0	0	100	yes	no	4	forest	forest	clearcut	forest	0.75	11.73413	175.6571	37827	41352
605128	1	1	0	17/05/2018	5:36:00 AM	21410	02/06/2010	forest	clearcut	0	80	0	20	0	0	0	0	100	no	no	4	clearcut	forest	forest	clearcut	0.5	197.69673	5.26803	2767	118180
605467	1	3	0	18/05/2018	8:44:00 AM	70436	02/06/2010	forest	clearcut	0	80	20	0	0	0	0	0	100	yes	yes	3	open	clearcut	forest	open	0.25	0.63884	123.09579	142727	80882
605475	1	2	0	17/05/2018	5:52:00 AM	23553	02/06/2010	forest	clearcut	0	80	0	20	0	0	0	0	100	no	no	3	forest	clearcut	clearcut	clearcut	0.25	675.50388	5.0931	899	140027
674464	1	1	0	31/05/2018	5:40:00 AM	43104	06/06/2011	forest	clearcut	0	100	0	0	0	0	0	0	100	no	no	4	forest	clearcut	clearcut	clearcut	0.25	224.97362	278.20023	2522	103347
674467	1	1	0	23/05/2018	6:56:00 AM	65942	30/05/2011	forest	clearcut	0	80	0	20	0	0	0	0	100	no	yes	4	forest	forest	forest	clearcut	0.75	717.29189	109.12064	0	62284
674474	1	3	1	01/06/2018	7:11:00 AM	37230	09/07/2011	forest	clearcut	0	70	0	20	10	0	0	0	100	yes	no	3	forest	clearcut	open	open	0.25	23.96763	8.12679	104470	35770
674531	1	3	0	29/05/2018	6:19:00 AM	57551	09/07/2011	forest	clearcut	15	50	0	35	0	0	0	0	100	yes	yes	2.5	clearcut	forest	forest	forest	0.75	950.79596	150.00928	34962	29618
791416	0	2	0	03/06/2018	6:00:00 AM	9981	25/04/2013	forest	clearcut	10	70	0	20	0	0	0	0	100	no	no	2.5	clearcut	clearcut	forest	clearcut	0.25	222.8786	5.24445	885	60041
944219	0	0	0	29/05/2018	7:46:00 AM	5472	03/06/2013	forest	clearcut	50	40	0	0	0	10	0	0	100	no	no	1.5	forest	forest	forest	forest	1	406.97565	1.9003	0	5244
944220	0	2	0	29/05/2018	7:30:00 AM	5503	03/06/2013	forest	clearcut	35	30	0	25	10	0	0	0	100	yes	yes	1.5	clearcut	forest	forest	forest	0.75	256.33006	6.30902	0	35922
944221	0	0	0	29/05/2018	7:35:00 AM	7305	03/06/2013	forest	clearcut	35	30	0	25	10	0	0	0	100	yes	yes	1.5	clearcut	forest	forest	forest	0.75	154.34473	2.55415	17657	27550
944222	0	0	0	29/05/2018	5:45:00 AM	5576	03/06/2013	forest	clearcut	70	10	0	20	0	0	0	0	100	yes	yes	2	forest	forest	forest	forest	1	110.93223	711.88426	47559	0
944223	0	2	0	05/06/2018	6:00:00 AM	50064	03/06/2013	forest	clearcut	10	30	0	50	10	0	0	0	100	no	yes	1.5	forest	forest	forest	clearcut	0.75	356.13948	12.93067	50272	66581
944570	0	1	0	29/05/2018	5:12:00 AM	7625	03/06/2013	forest	clearcut	0	50	0	50	0	0	0	0	100	no	no	5	forest	open	forest	forest	0.75	129.98716	272.6972	68529	0
945449	0	3	0	22/05/2018	5:46:00 AM	50027	03/06/2013	forest	clearcut	10	30	0	50	0	10	0	0	100	no	yes	1.5	clearcut	forest	clearcut	forest	0.5	201.25367	0.21045	13870	73532
945469	0	0	3	21/05/2018	8:15:00 AM	51604	03/06/2013	forest	clearcut	10	0	0	70	10	0	0	10	100	no	yes	1.5	forest	forest	clearcut	forest	0.75	14.83411	5.13081	81302	84516
945824	0	0	0	23/05/2018	5:44:00 AM	3178	03/06/2013	forest	clearcut	0	0	0	95	0	0	0	5	100	no	yes	2.5	forest	forest	open	clearcut	0.5	539.28501	252.78026	0	30497
