objectID	spontaneous	yellowhammers	shrikes	date	time	areasize	cuttingdate	type_lvl1	type_lvl2	grass	spruce	shrubs	birch	raspberry	branches	bare	stones	total	trees	stubs	vegheight	edgeN	edgeE	edgeS	edgeW	edges	distfl10ha	distcc	propfl_250	propcc_250
1501337	0	0	0	23/05/2018	6:16:00 AM	27120	08/09/2015	forest	clearcut	50	5	0	15	5	10	10	5	100	yes	no	0.5	forest	clearcut	forest	forest	0.75	720.9416	24.93131	0.02	0.208486955
1501338	0	1	0	24/05/2018	6:07:00 AM	29003	08/09/2015	forest	clearcut	40	50	0	0	0	5	0	5	100	no	yes	1.5	forest	forest	forest	clearcut	0.75	9.61362	9.06241	0.26	0.081022018
1501342	0	0	0	25/05/2018	5:39:00 AM	11027	08/09/2015	forest	clearcut	30	0	0	50	10	5	0	5	100	no	yes	2	forest	clearcut	forest	clearcut	0.5	33.81063	830.88942	0.52	0.071101658
1501343	0	0	0	25/05/2018	5:36:00 AM	2037	08/09/2015	forest	clearcut	40	0	10	20	20	0	10	0	100	yes	yes	1	open	forest	open	open	0.25	4.86873	743.28683	0.53	0.125705389
1501344	0	0	0	25/05/2018	5:30:00 AM	4402	08/09/2015	forest	clearcut	40	0	0	40	10	0	5	5	100	no	yes	1.5	open	forest	open	open	0.25	14.1494	795.13191	0.57	0.093664785
1501347	0	1	0	25/05/2018	6:32:00 AM	13762	08/09/2015	forest	clearcut	50	5	5	15	0	0	15	10	100	yes	yes	0.5	forest	forest	open	open	0.5	15.59755	231.73652	0.21	0.094637175
1501351	0	0	0	17/05/2018	5:25:00 AM	67177	08/09/2015	forest	clearcut	25	30	0	15	15	0	10	5	100	yes	yes	1.5	forest	clearcut	forest	forest	0.75	290.3271	10	0.11	0.160397974
1501778	0	0	0	31/05/2018	5:32:00 AM	45406	08/09/2015	forest	clearcut	85	0	0	0	0	0	10	5	100	yes	yes	0.5	forest	clearcut	clearcut	forest	0.5	346.34258	35.76333	0.03	0.260918895
1502178	0	0	0	28/05/2018	6:17:00 AM	9364	08/09/2015	forest	clearcut	50	0	0	10	30	5	0	5	100	yes	yes	1	forest	forest	open	open	0.5	152.21998	10.212	0.19	0.223281144
1502677	0	2	0	28/05/2018	8:36:00 AM	5467	08/09/2015	forest	clearcut	40	0	0	25	10	10	15	0	100	no	yes	0	forest	forest	forest	forest	1	143.45	407.26143	0.19	0.095929424
1502681	0	0	0	28/05/2018	8:18:00 AM	16968	08/09/2015	forest	clearcut	50	0	0	5	10	5	20	10	100	no	no	0.5	forest	forest	clearcut	forest	0.75	164.59454	125.8868	0.11	0.167473676
1574884	0	0	0	28/05/2018	8:10:00 AM	10822	21/07/2016	forest	clearcut	0	20	70	0	0	10	0	0	100	yes	no	3	forest	forest	forest	forest	1	242.40335	140.02693	0.06	0.12805459
1574887	0	0	0	28/05/2018	6:45:00 AM	6805	21/07/2016	forest	clearcut	30	20	0	30	10	0	10	0	100	no	no	0.5	forest	forest	forest	forest	1	355.72738	332.88984	0.00	0.050171184
1575185	0	0	0	28/05/2018	6:05:00 AM	11506	21/07/2016	forest	clearcut	15	20	0	15	0	0	45	5	100	no	yes	0.5	forest	forest	forest	clearcut	0.75	510.9032	46.1442	0.04	0.190008381
1575186	0	0	0	16/05/2018	6:38:00 AM	19682	21/07/2016	forest	clearcut	30	15	0	15	10	20	0	10	100	yes	yes	0.5	forest	open	forest	forest	0.75	3.07591	157.47722	0.14	0.040933814
1575187	0	0	0	23/05/2018	6:22:00 AM	8287	21/07/2016	forest	clearcut	10	0	0	30	10	40	0	10	100	no	yes	1	forest	forest	clearcut	forest	0.75	609.79067	133.57564	0.04	0.147429009
